date,category,count
2026-04-25,planting,4
2026-04-25,beans,1
2026-04-25,irrigation,1
2026-04-25,watering,2
2026-04-25,tomatoes,1
2026-04-25,seedlings,1
2026-04-25,garlic,1
2026-04-25,sunchokes,1
2026-04-25,planting,5
2026-04-25,beans,1
2026-04-25,irrigation,1
2026-04-25,watering,2
2026-04-25,tomatoes,1
2026-04-25,seedlings,1
2026-04-25,garlic,1
2026-04-25,sunchokes,1
2026-04-25,maintenance,1
2026-04-25,planting,7
2026-04-25,beans,1
2026-04-25,irrigation,1
2026-04-25,watering,2
2026-04-25,tomatoes,2
2026-04-25,seedlings,2
2026-04-25,garlic,1
2026-04-25,sunchokes,1
2026-04-25,maintenance,2
2026-04-25,planting,8
2026-04-25,beans,1
2026-04-25,irrigation,1
2026-04-25,watering,2
2026-04-25,tomatoes,2
2026-04-25,seedlings,3
2026-04-25,garlic,1
2026-04-25,sunchokes,1
2026-04-25,maintenance,2
2026-04-26,seedlings,3
2026-04-26,watering,1
2026-04-26,garlic,1
2026-04-26,planting,7
2026-04-26,sunchokes,1
2026-04-26,maintenance,2
2026-04-26,tomatoes,1
2026-04-26,weeding,1
2026-04-26,community garden,1
2026-04-27,garlic,1
2026-04-27,planting,7
2026-04-27,sunchokes,1
2026-04-27,maintenance,2
2026-04-27,tomatoes,1
2026-04-27,seedlings,2
2026-04-27,weeding,1
2026-04-27,community garden,1
